error paint_template_error | 27.10.2015 02:43:16  |  User:   | services | response 200
error loadView general | 23.11.2015 01:10:55  |  User:   | products | response 200
error loadView general | 23.11.2015 01:16:11  |  User:   | products | response 200
error loadView general | 23.11.2015 01:17:13  |  User:   | products | response 200
error loadView general | 23.11.2015 01:17:43  |  User:   | products | response 200
error loadView general | 23.11.2015 01:19:14  |  User:   | products | response 200
error loadView general | 23.11.2015 01:19:48  |  User:   | products | response 200
error loadView general | 23.11.2015 01:23:51  |  User:   | products | response 200
error loadView general | 23.11.2015 01:23:54  |  User:   | products | response 200
error loadView general | 23.11.2015 01:24:25  |  User:   | products | response 503
error loadView general | 23.11.2015 01:26:14  |  User:   | products | response 503
error loadView general | 23.11.2015 01:26:17  |  User:   | products | response 503
error loadView general | 23.11.2015 01:26:27  |  User:   | products | response 503
error loadView general | 23.11.2015 01:26:52  |  User:   | products | response 503
error loadView general | 23.11.2015 01:27:59  |  User:   | products | response 503
error loadView general | 23.11.2015 01:28:57  |  User:   | products | response 400
error loadView general | 23.11.2015 02:24:19  |  User:   | products | response 400
error loadView general | 23.11.2015 02:24:46  |  User:   | products | response 400
error loadView general | 23.11.2015 02:25:17  |  User:   | products | response 400
error loadView general | 23.11.2015 02:25:27  |  User:   | products | response 400
error loadView general | 23.11.2015 02:26:46  |  User:   | products | response 400
error loadView general | 23.11.2015 07:35:24  |  User:   | products | response 400
error loadView general | 23.11.2015 07:38:43  |  User:   | products | response 400
error loadView general | 24.11.2015 12:25:13  |  User:   | products | response 400
error loadView general | 24.11.2015 12:25:25  |  User:   | products | response 400
error loadView general | 24.11.2015 12:26:08  |  User:   | products | response 400
error loadView general | 24.11.2015 12:26:25  |  User:   | products | response 400
error loadView general | 24.11.2015 12:27:21  |  User:   | products | response 400
error loadView general | 24.11.2015 12:28:37  |  User:   | products | response 400
error loadView general | 24.11.2015 12:32:30  |  User:   | products | response 400
error loadView general | 24.11.2015 12:34:32  |  User:   | products | response 400
error loadView general | 24.11.2015 12:42:50  |  User:   | products | response 400
error loadView general | 24.11.2015 12:43:29  |  User:   | products | response 400
error loadView general | 24.11.2015 08:22:20  |  User:   | products | response 400
error loadView general | 24.11.2015 08:26:21  |  User:   | products | response 400
error loadView general | 24.11.2015 08:28:00  |  User:   | products | response 400
error loadView general | 24.11.2015 08:33:36  |  User:   | products | response 400
error loadView general | 24.11.2015 08:34:08  |  User:   | products | response 400
error loadView general | 24.11.2015 08:40:52  |  User:   | products | response 400
error loadView general | 24.11.2015 08:42:40  |  User:   | products | response 503
error loadView general | 24.11.2015 08:42:40  |  User:   | products | response 400
error loadView general | 24.11.2015 08:43:28  |  User:   | products | response 503
error loadView general | 24.11.2015 08:43:34  |  User:   | products | response 503
error loadView general | 24.11.2015 08:43:51  |  User:   | products | response 503
error loadView general | 24.11.2015 08:44:23  |  User:   | products | response 503
error loadView general | 24.11.2015 08:44:23  |  User:   | products | response 400
error loadView general | 24.11.2015 08:45:15  |  User:   | products | response 503
error loadView general | 24.11.2015 08:45:15  |  User:   | products | response 400
error loadView general | 24.11.2015 08:48:38  |  User:   | products | response 503
error loadView general | 24.11.2015 08:48:38  |  User:   | products | response 400
error loadView general | 24.11.2015 08:50:21  |  User:   | products | response 503
error loadView general | 24.11.2015 08:50:21  |  User:   | products | response 400
error loadView general | 24.11.2015 08:52:28  |  User:   | products | response 503
error loadView general | 24.11.2015 08:52:28  |  User:   | products | response 400
error loadView general | 24.11.2015 08:54:33  |  User:   | products | response 503
error loadView general | 24.11.2015 08:54:33  |  User:   | products | response 400
error loadView general | 24.11.2015 08:55:56  |  User:   | products | response 503
error loadView general | 24.11.2015 08:55:56  |  User:   | products | response 400
error loadView general | 24.11.2015 09:03:48  |  User:   | products | response 200
error loadView general | 24.11.2015 09:03:48  |  User:   | products | response 200
error loadView general | 24.11.2015 09:09:02  |  User:   | products | response 503
error loadView general | 24.11.2015 09:09:02  |  User:   | products | response 400
error loadView general | 24.11.2015 09:16:58  |  User:   | products | response 503
error loadView general | 24.11.2015 09:16:58  |  User:   | products | response 400
error loadView general | 24.11.2015 09:17:09  |  User:   | products | response 503
error loadView general | 24.11.2015 09:17:09  |  User:   | products | response 400
error loadView general | 24.11.2015 09:23:20  |  User:   | products | response 503
error loadView general | 24.11.2015 09:23:20  |  User:   | products | response 400
error paint_template_error | 24.11.2015 09:48:08  |  User:   | products | response200
error paint_template_error | 24.11.2015 09:48:18  |  User:   | products | response200
error paint_template_error | 25.11.2015 11:57:15  |  User:   | products | response200
error paint_template_error | 25.11.2015 11:58:01  |  User:   | products | response200
error paint_template_error | 25.11.2015 12:00:21  |  User:   | products | response200
error paint_template_error | 25.11.2015 12:01:20  |  User:   | products | response200
error loadView general | 25.11.2015 12:34:51  |  User:   | products | response 400
error paint_template_error | 25.11.2015 12:35:09  |  User:   | products | response200
error loadView general | 25.11.2015 05:50:04  |  User:   | products | response 503
error loadView general | 25.11.2015 05:50:19  |  User:   | products | response 503
error paint_template_error | 25.11.2015 05:59:01  |  User:   | products | response200
error paint_template_error | 25.11.2015 05:59:31  |  User:   | products | response200
error loadView general | 25.11.2015 05:59:51  |  User:   | products | response 404
error loadView general | 25.11.2015 06:00:05  |  User:   | products | response 503
error loadView general | 25.11.2015 06:00:05  |  User:   | products | response 404
ERROR - 404 NO DATA | 25.11.2015 06:00:31  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:00:31  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:00:42  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:00:42  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:00:43  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:00:43  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 06:01:25  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:01:25  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:01:51  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:01:52  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:42:25  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:42:25  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:43:08  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:43:08  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:43:26  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:43:26  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:43:42  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:43:42  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:43:55  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:43:55  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:45:04  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:45:04  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:46:46  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:46:47  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:46:55  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:46:55  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:46:56  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:46:56  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:47:03  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:47:03  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:47:06  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:47:06  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:47:16  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:47:16  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:48:28  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:48:28  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:49:19  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:49:20  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:50:11  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:50:23  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:50:38  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:50:42  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:50:45  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:50:51  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:50:51  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:51:06  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:51:10  |  User:   |  | response 200
ERROR - 404 NO DATA | 25.11.2015 06:51:47  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:51:47  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 06:53:00  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:53:00  |  User:   | products | response200
error paint_template_error | 25.11.2015 06:54:07  |  User:   | products | response200
error paint_template_error | 25.11.2015 06:55:13  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 06:55:34  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:55:34  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 06:56:18  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:56:18  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:56:45  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:56:45  |  User:   | products | response200
ERROR - 404 NO DATA | 25.11.2015 06:58:18  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:58:19  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 06:58:38  |  User:   |  | response 200
error paint_template_error | 25.11.2015 06:58:38  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 07:01:16  |  User:   |  | response 200
error paint_template_error | 25.11.2015 07:01:16  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 09:51:51  |  User:   |  | response 200
error paint_template_error | 25.11.2015 09:51:51  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 09:52:01  |  User:   |  | response 200
error paint_template_error | 25.11.2015 09:52:01  |  User:   | products | response200
ERROR - 503 BD | 25.11.2015 09:53:18  |  User:   |  | response 200
error paint_template_error | 25.11.2015 09:53:19  |  User:   | products | response200
ERROR - 503 BD | 26.11.2015 10:51:54  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:52:02  |  User:   | products | response200
ERROR - 404 NO DATA | 26.11.2015 10:54:22  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:54:23  |  User:   | products | response200
ERROR - 503 BD | 26.11.2015 10:54:51  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:54:52  |  User:   | products | response200
ERROR - 404 NO DATA | 26.11.2015 10:55:25  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:55:25  |  User:   | products | response200
ERROR - 404 NO DATA | 26.11.2015 10:56:51  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:56:51  |  User:   | products | response200
ERROR - 404 NO DATA | 26.11.2015 10:57:16  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:57:16  |  User:   | products | response200
ERROR - 404 NO DATA | 26.11.2015 10:58:09  |  User:   |  | response 200
error paint_template_error | 26.11.2015 10:58:09  |  User:   | products | response200
error paint_template_error | 26.11.2015 10:58:58  |  User:   | products | response200
error paint_template_error | 26.11.2015 10:59:46  |  User:   | products | response200
error paint_template_error | 26.11.2015 11:01:18  |  User:   | products | response200
error paint_template_error | 26.11.2015 11:02:52  |  User:   | products | response200
error paint_template_error | 26.11.2015 11:03:01  |  User:   | products | response200
error paint_template_error | 26.11.2015 11:03:02  |  User:   | products | response200
error paint_template_error | 26.11.2015 11:03:03  |  User:   | products | response200
ERROR: [2] require(/home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_webmodules/products_FE/model/BLL/products_FE_bll.class.singleton.php): failed to open stream: No such file or directory
Warning on line 2 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/model/products_FE_model.class.singleton.php
 | 27.10.2016 05:24:11  |  User:   | products_FE | response 200
ERROR: [2] require(/home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/BLL/products_FE_bll.class.singleton.php): failed to open stream: No such file or directory
Warning on line 2 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/model/products_FE_model.class.singleton.php
 | 27.10.2016 05:26:19  |  User:   | products_FE | response 200
ERROR: [2] require(/home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_webmodel/Db.class.singleton.php): failed to open stream: No such file or directory
Warning on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/BLL/products_FE_bll.class.singleton.php
 | 27.10.2016 05:27:55  |  User:   | products_FE | response 200
ERROR: [2] require(/home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_webmodel/Db.class.singleton.php): failed to open stream: No such file or directory
Warning on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/BLL/products_FE_bll.class.singleton.php
 | 27.10.2016 05:28:53  |  User:   | products_FE | response 200
ERROR: [2] require(/home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_webmodel//Db.class.singleton.php): failed to open stream: No such file or directory
Warning on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/modules/products_FE/model/BLL/products_FE_bll.class.singleton.php
 | 27.10.2016 05:30:20  |  User:   | products_FE | response 200
ERROR - 503 BD | 27.10.2016 05:31:10  |  User:   |  | response 200
ERROR - 503 BD | 27.10.2016 05:36:20  |  User:   |  | response 200
ERROR - 503 BD | 27.10.2016 05:39:02  |  User:   |  | response 200
error paint_template_error | 27.10.2016 05:39:02  |  User:   | products | response200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:44:23  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:44:23  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:52:46  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:52:46  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:55:56  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:55:56  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:58:59  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 05:58:59  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:01:50  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:01:50  |  User:   | products_FE | response 200
error loadView general | 27.10.2016 06:01:50  |  User:   |  | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:36:04  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:36:04  |  User:   | products_FE | response 200
error loadView general | 27.10.2016 06:36:04  |  User:   |  | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:41:02  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:41:02  |  User:   | products_FE | response 200
error paint_template_error | 27.10.2016 06:41:02  |  User:   | products | response200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:42:46  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:42:46  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:42:46  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:42:46  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:44:28  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:44:28  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:44:28  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:44:28  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:02  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:02  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:02  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:02  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:32  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:32  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:32  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:45:32  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:48:53  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:48:53  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:48:53  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:48:53  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:28  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:28  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:28  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:28  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:48  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:48  |  User:   | products_FE | response 200
ERROR: [8] Constant SITE_ROOT already defined
Notice on line 3 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:48  |  User:   | products_FE | response 200
ERROR: [8] Constant MODEL_PATH already defined
Notice on line 4 in file /home/osotemi/Documentos/DAS/DES/osotemiWebGit/osotemi_web/model/Conf.class.singleton.php
 | 27.10.2016 06:50:48  |  User:   | products_FE | response 200
